Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForSingleException();15;0;0;14;0.8235294117647058;1;0.041666666666666664
com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForChainedBaseExceptions();55;1;4;2;0.11764705882352941;12;0.5
com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForChainedExceptionsWithOtherExceptionInMix();55;1;4;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminator();36;1;5;14;0.875;8;0.34782608695652173
com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminatorOnAnEvenByte();48;1;10;1;0.0625;3;0.13043478260869565
com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminatorAfterFromIndex();22;1;4;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.findsFirstSingleTerminator();36;1;5;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.findsFirstSingleTerminatorAfterFromIndex();24;1;3;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminatorWhenFirstElement();12;1;1;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminatorWhenLastElement();36;1;5;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.ReturnsMinusOneWhenNoSingleTerminator();29;1;4;1;0.0625;1;0.043478260869565216
com.mpatric.mp3agic.BufferToolsTest.findsDoubleTerminator();30;1;6;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.findsNotFindDoubleTerminatorIfNotOnEvenByte();39;1;8;0;0;1;0.043478260869565216
com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminator();30;1;6;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();8.5;1;1.5;9;1;5;0.8333333333333333
com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();7.333333333333333;1;1;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();8.5;1;1.5;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.shouldSetBitsInBytesCorrectly();5;0;0;6;1;2;1
com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();11.666666666666666;1;2.3333333333333335;9;1;8;0.8888888888888888
com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseFFExBytesCorrectly();72;1;15;14;0.9333333333333333;10;0.6666666666666666
com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferFullOfFFsCorrectly();24;1;3;0;0;1;0.06666666666666667
com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferMinimalBufferCorrectly();9;0;0;0;0;1;0.06666666666666667
com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();13.2;1;1.2;16;1;9;0.5294117647058824
com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();16.333333333333332;1;1.6666666666666667;0;0;0;0
com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseFFExBytesCorrectly();58;1;15;14;0.7777777777777778;8;0.5333333333333333
com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferFullOfFFsCorrectly();23;1;3;2;0.1111111111111111;2;0.13333333333333333
com.mpatric.mp3agic.BufferToolsTest.shouldReturnOriginalBufferIfNoUnynchronisationOrSynchronisationIsRequired();5;0;0;2;0.1111111111111111;1;0.06666666666666667
com.mpatric.mp3agic.EncodedTextTest.shouldConstructFromStringOrBytes();6;0;0;5;0.8333333333333334;1;0.5
com.mpatric.mp3agic.EncodedTextTest.shouldHandleBacktickCharacterInString();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldStillReturnBytesWhenDataIsEmpty();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldStillReturnBytesWhenUnicodeDataIsEmpty();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeISO8859_1Text();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeUTF8Text();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeUTF16Text();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeUTF16BEText();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.UTF16ShouldDecodeBEWhenSpecifiedInBOM();6;0;0;1;0.16666666666666666;1;0.5
com.mpatric.mp3agic.EncodedTextTest.shouldTranscodeFromOneEncodingToAnother();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldThrowExceptionWhenTranscodingWithInvalidCharacterSet();6;0;0;0;0;0;0
com.mpatric.mp3agic.EncodedTextTest.shouldReturnNullWhenDecodingInvalidString();6;0;0;0;0;0;0
com.mpatric.mp3agic.ID3v1GenresTest.returnsMinusOneForNonExistentGenre();301;1;148;6;0.6666666666666666;3;0.5
com.mpatric.mp3agic.ID3v1GenresTest.returnsCorrectGenreIdForFirstExistentGenre();6;0;0;2;0.2222222222222222;1;0.16666666666666666
com.mpatric.mp3agic.ID3WrapperTest.clearsCommentOnV1Tag();6;0;0;5;0.625;1;0.25
com.mpatric.mp3agic.ID3WrapperTest.clearsCommentFrameOnV2Tag();6;0;0;3;0.375;1;0.25
com.mpatric.mp3agic.ID3WrapperTest.getAlbumReturnsV2TagsAlbumBeforeV1TagsAlbum();4;0;0;3;0.375;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getAlbumReturnsV1TagsAlbumIfV2TagsAlbumIsEmpty();5;0;0;3;0.375;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getAlbumReturnsNullIfBothTagsDoNotExist();5;0;0;2;0.25;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getArtistReturnsV2TagsArtistBeforeV1TagsArtist();4;0;0;3;0.375;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getArtistReturnsV1TagsArtistIfV2TagDoesNotExist();5;0;0;3;0.375;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getArtistReturnsNullIfBothTagsDoNotExist();5;0;0;2;0.25;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getCommentReturnsV2TagsCommentBeforeV1TagsComment();4;0;0;3;0.375;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getCommentReturnsV1TagsCommentIfV2TagsCommentDoesNotExist();5;0;0;3;0.375;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getCommentReturnsNullIfBothTagsDoNotExist();5;0;0;2;0.25;1;0.3333333333333333
com.mpatric.mp3agic.ID3WrapperTest.getComposerReturnsV2TagsComposer();4;0;0;3;0.6;1;0.5
com.mpatric.mp3agic.ID3WrapperTest.getComposerReturnsNullIfV2TagDoesNotExist();4;0;0;2;0.4;1;0.5
com.mpatric.mp3agic.MpegFrameTest.shouldExtractValidMpegVersion1Header();7;0;0;6;0.6;1;0.25
com.mpatric.mp3agic.MpegFrameTest.shouldProcessValidMpegVersion2Header();7;0;0;0;0;0;0
